#Time,Value
2160,0.00000000
2340,-4.86417925
2520,13.63916533
2700,31.89262035
2880,-69.24683960
3060,-69.91147759
3240,-11.88124756
3420,17.26699793
3600,-42.34793375
3780,31.22102422
3960,155.67262435
4140,413.34451749
4320,649.27615758
4500,1038.55737324
4680,2671.99022059
4860,3074.12710725
5040,5180.48731960
5220,12401.47408438
5400,12826.60259195
5580,9345.28359015
5760,7501.85365708
5940,8384.08133197
6120,30461.44299261
6300,33882.92870589
6480,36213.59236629
6660,36992.94308081
6840,38553.58985820
7020,38121.94976447
7200,37144.72744974
7380,33508.00579824
7560,33615.68526385
7740,32138.44078082
7920,32651.53693479
8100,33261.34970833
8280,30177.12079919
8460,32588.94685945
8640,32271.81632191
8820,31124.37434397
9000,31461.35836905
9180,30851.07592213
9360,23576.88259584
9540,17193.53935358
9720,13947.54701646
9900,11207.10345618
10080,8896.26991507
10260,6962.76840820
10440,5570.36349207
10620,4586.54954644
10800,4952.80731772
