0.00000000,0.00000000
180.00000000,-0.02885408
360.00000000,-0.05184299
540.00000000,-0.05445653
720.00000000,-0.05530457
900.00000000,-0.05567503
1080.00000000,-0.05586650
1260.00000000,0.03094775
1440.00000000,0.95736241
1620.00000000,0.56078978
1800.00000000,1.20294837
1980.00000000,105.25804502
2160.00000000,63.77120725
2340.00000000,42.49461897
2520.00000000,36.48224622
2700.00000000,31.70863141
2880.00000000,29.78045929
3060.00000000,27.64709640
3240.00000000,33.62160753
3420.00000000,32.66095227
3600.00000000,33.32418691
3780.00000000,103.91821074
3960.00000000,150.36743880
4140.00000000,451.02922891
4320.00000000,775.08932355
4500.00000000,2433.58710012
4680.00000000,2527.54574101
4860.00000000,3146.70836557
5040.00000000,5289.36952779
5220.00000000,12617.18630020
5400.00000000,12913.85671665
5580.00000000,9343.48251891
5760.00000000,7557.05948028
5940.00000000,8296.78292780
6120.00000000,31466.83294074
6300.00000000,33823.83384302
6480.00000000,43975.24428351
6660.00000000,44344.58866251
6840.00000000,42321.52990386
7020.00000000,42085.15437216
7200.00000000,36775.10643133
7380.00000000,34093.06481848
7560.00000000,35573.80393839
7740.00000000,33386.15589005
7920.00000000,31094.48516720
8100.00000000,29999.41221354
8280.00000000,27493.71017695
8460.00000000,24175.28210251
8640.00000000,30855.81578769
8820.00000000,32585.81932905
9000.00000000,31735.43617179
9180.00000000,27323.10549092
9360.00000000,21364.74423632
9540.00000000,17034.74720066
9720.00000000,13943.38680521
9900.00000000,11234.15266629
10080.00000000,8921.99387462
10260.00000000,6997.49442729
10440.00000000,5593.94719021
10620.00000000,4563.16649947
10800.00000000,3787.34948523
10980.00000000,3191.51766657
11160.00000000,2724.68428467
11340.00000000,2351.43781807
11520.00000000,2047.22432991
11700.00000000,1844.74515951
11880.00000000,809.81569142
12060.00000000,808.32990739
12240.00000000,530.80708758
12420.00000000,533.71185242
12600.00000000,882.05110382
12780.00000000,869.76165936
12960.00000000,824.28074804
